,home,away,score,stage
0,SDRUMALA,A.C. DENTI,3-3,1
1,NAZIONALE FERROVIERI,HERTA VERNELLO,4-5,1
2,SALA GIARDINI,SBARX,1-4,1
3,I MONTAGNA,BAYERN MONA,5-0,1
4,FC WANDA TIM,FC. STALLIONS,5-1,1
5,SUGHI EBBASTA,LA CONTEA FC,4-0,1
6,F.C. JULIA,VIGILI DEL FUSTO,5-0,1
7,AVANZI,U.S. GUARNA,0-6,1
8,MODIUM,FC. STALLIONS,4-2,1
9,FC SAVIGNANO,SDRUMALA,4-0,1
10,SALA GIARDINI,FC SCHALKE 104,5-3,1
11,MAI UNA GIOIA,CLITORIDERS,2-2,1
12,PINGUINI TRENTINI,DEMOBUSTERS,0-0,1
13,RSA UNITED,FC WANDA TIM,2-3,1
14,MEDIASERT,U.S. GUARNA,2-4,1
15,I MAGNIFICI,BAYERN MONA,7-0,1
16,SBARX,DEMOBUSTERS,2-0,1
17,FEL LAZIO,F.C. GORILLAZ,2-3,1
18,I MONTAGNA,I MAGNIFICI,3-2,1
19,SHARK ATTACK,AVANZI,5-1,1
20,CGB GAMBERONI,FC SCHALKE 104,7-0,1
21,PINGUINI TRENTINI,RSA UNITED,1-0,1
22,F.C. GORILLAZ,FC. STALLIONS,5-0,1
23,CLANDES-TEAM,VIGILI DEL FUSTO,7-0,1
24,F.C. JULIA,SUGHI EBBASTA,1-2,1
25,BAYERN MONA,A.C. DENTI,0-5,1
26,SHARK ATTACK,MODIUM,0-0,1
27,I MONTAGNA,MEDIASERT,1-0,1
28,HELLAS MADONNA,CGB GAMBERONI,0-6,1
29,MAI UNA GIOIA,HERTA VERNELLO,2-1,1
30,MAI UNA GIOIA,SUGHI EBBASTA,1-0,1
31,SDRUMALA,CLANDES-TEAM,2-1,1
32,RSA UNITED,NAZIONALE FERROVIERI,2-1,1
33,U.S. GUARNA,DEMOBUSTERS,6-1,1
34,MEDIASERT,F.C. GORILLAZ,1-1,1
35,I MAGNIFICI,LA CONTEA FC,2-1,1
36,PINGUINI TRENTINI,FEL LAZIO,4-1,1
37,HELLAS MADONNA,BAYERN MONA,3-2,1
38,CLITORIDERS,SALA GIARDINI,8-0,1
39,SHARK ATTACK,FC WANDA TIM,7-0,1
40,CGB GAMBERONI,CLANDES-TEAM,2-1,1
41,MODIUM,F.C. JULIA,5-1,1
42,FC SAVIGNANO,SBARX,1-0,1
43,HERTA VERNELLO,FC SCHALKE 104,9-0,1
44,I MONTAGNA,HELLAS MADONNA,7-0,1
45,F.C. JULIA,I MAGNIFICI,1-3,1
46,LA CONTEA FC,FC WANDA TIM,2-0,1
47,SHARK ATTACK,CLANDES-TEAM,2-1,1
48,MEDIASERT,A.C. DENTI,2-0,1
49,MAI UNA GIOIA,NAZIONALE FERROVIERI,5-2,1
50,DEMOBUSTERS,VIGILI DEL FUSTO,5-0,1
51,CLITORIDERS,FC SCHALKE 104,6-1,1
52,PINGUINI TRENTINI,FC SAVIGNANO,1-6,1
53,AVANZI,FEL LAZIO,4-1,1
54,U.S. GUARNA,F.C. GORILLAZ,1-1,1
55,RSA UNITED,SALA GIARDINI,5-0,1
56,FEL LAZIO,A.C. DENTI,3-1,1
57,FC SAVIGNANO,VIGILI DEL FUSTO,9-0,1
58,CLITORIDERS,CGB GAMBERONI,2-3,1
59,NAZIONALE FERROVIERI,SBARX,0-7,1
60,SUGHI EBBASTA,HERTA VERNELLO,2-1,1
61,AVANZI,FC. STALLIONS,5-1,1
62,MODIUM,LA CONTEA FC,4-1,1
63,HELLAS MADONNA,SDRUMALA,1-5,1
64,I MAGNIFICI,FEL LAZIO,1-1,9
65,SUGHI EBBASTA,F.C. JULIA,7-0,9
66,F.C. GORILLAZ,CLANDES-TEAM,2-3,9
67,CLITORIDERS,DEMOBUSTERS,1-2,9
68,SDRUMALA,A.C. DENTI,4-0,9
69,PINGUINI TRENTINI,MEDIASERT,2-2,9
70,HERTA VERNELLO,RSA UNITED,5-0,9
71,AVANZI,FC WANDA TIM,4-0,9
72,FC SAVIGNANO,AVANZI,3-0,10
73,I MAGNIFICI,SBARX,0-0,10
74,SHARK ATTACK,DEMOBUSTERS,3-0,10
75,SDRUMALA,U.S. GUARNA,0-2,10
76,CGB GAMBERONI,HERTA VERNELLO,0-0,10
77,SUGHI EBBASTA,MAI UNA GIOIA,1-1,10
78,MODIUM,CLANDES-TEAM,0-2,10
79,PINGUINI TRENTINI,I MONTAGNA,1-2,10
80,FC SAVIGNANO,I MAGNIFICI,3-1,11
81,SHARK ATTACK,U.S. GUARNA,1-1,11
82,CGB GAMBERONI,SUGHI EBBASTA,1-2,11
83,CLANDES-TEAM,I MONTAGNA,0-5,11
84,FC SAVIGNANO,U.S. GUARNA,2-1,12
85,SUGHI EBBASTA,I MONTAGNA,1-0,12
86,FC SAVIGNANO,SUGHI EBBASTA,0-1,13
